"plot","MAP","sample","Active_C_mgkg.1","C.mgperkg","N.mgperkg","P.mgperkg","Mg.mgperkg","Mn.mgperkg","Fe.mgperkg","K.mgperkg","Ca.mgperkg","pH","Beta_umolgSOC.1h.1","Nag_umolgSOC.1h.1","Phos_umolgSOC.1h.1","log.beta","log.nag","block","invasion","disturbance","vegetation.type","Sequencing.name","fungal.spec.richness","fungal.fisher.alpha","bacterial.spec.richness","bacterial.fisher.alpha","plant.shannon","plant.invsimpson","plant.spec.richness","PC1.soil","PC2.soil"
"2DGL",648.9143248,"2DGL.4",926.83,5840,510,123,749,353,760,1478,4373,5.88,33036.57774,10550.33716,70396.31575,10.4053706429724,9.2639130966874,2,"Uninvaded","Disturbed","Grassland",8058,145,34.56000627,3708,2964.987628,1.869691145,4.592346425,11,0.848582537678313,-0.0664823597408171
"2DGL",648.9143248,"2DGL.5",1075.275,5080,600,89,907,332,495,1358,5394,5.88,13899.84589,7101.568307,37967.95866,9.53963303200696,8.86807092694704,2,"Uninvaded","Disturbed","Grassland",8059,204,50.98490091,3624,2816.77897,1.869691145,4.592346425,11,0.370600414573356,-1.65778500775786
"2UGN",648.9188512,"2UGN.1",982.3081,4010,460,129,791,619,844,1419,4096,5.35,28997.99726,6776.979551,74729.7813,10.2749820465839,8.82128678771973,2,"Invaded","Undisturbed","Grassland",8040,185,49.10185911,2224,2347.079652,0.580773613,1.520730117,3,1.25810015982229,1.1098432344725
"2UGN",648.9188512,"2UGN.2",896.5075,5150,550,363,1580,226,797,1360,10478,6.33,16333.34507,1162.26365,46027.29612,9.70096400699583,7.0581248049629,2,"Invaded","Undisturbed","Grassland",8041,185,46.80683005,3347,2360.823218,0.580773613,1.520730117,3,-1.19066780933926,2.10702659141658
"2UGN",648.9188512,"2UGN.3",1030.284,4360,490,166,588,337,721,1062,2955,5.06,8087.972137,3358.828137,29752.00461,8.99813331571416,8.11934742337328,2,"Invaded","Undisturbed","Grassland",8042,117,28.67323332,2272,2079.829906,0.580773613,1.520730117,3,2.40878304275344,0.318000275507165
"2UGN",648.9188512,"2UGN.4",1018.593,6120,720,168,1275,524,778,2231,6742,5.67,12734.78376,5335.906536,66011.3152,9.45209240729295,8.58221407169993,2,"Invaded","Undisturbed","Grassland",8043,242,62.34199487,3868,2997.611319,0.580773613,1.520730117,3,-1.75966860188845,0.363200945549178
"2UGN",648.9188512,"2UGN.5",1005.531,3910,380,163,644,420,769,1163,3286,5.45,31382.78977,14706.26113,89613.03504,10.3540149251397,9.59602860929647,2,"Invaded","Undisturbed","Grassland",8044,195,49.84954328,3665,2717.961065,0.580773613,1.520730117,3,2.24863292478739,1.21290843283231
"2UGL",648.494316639999,"2UGL.1",992.3427,3860,420,172,414,143,1242,565,1919,4.79,22344.5058,9672.346373,117296.5339,10.0143357443183,9.17702620358475,2,"Uninvaded","Undisturbed","Grassland",8035,134,34.09441889,2558,1074.866021,1.727115804,3.974025974,11,5.47524463972897,0.90372543231098
"2UGL",648.494316639999,"2UGL.2",998.6034,4580,630,165,529,262,1126,916,3310,6.01,12330.15478,7671.239301,32216.52598,9.41980314920207,8.94523345901438,2,"Uninvaded","Undisturbed","Grassland",8036,119,31.31209892,2544,1362.302998,1.727115804,3.974025974,11,2.29943247798094,0.332152633880074
"2UGL",648.494316639999,"2UGL.3",1006.025,4200,550,183,567,223,1171,839,2564,5.58,11416.28412,3665.324524,0,9.34279604672364,8.20667215719471,2,"Uninvaded","Undisturbed","Grassland",8037,174,44.06189422,2477,1661.435005,1.727115804,3.974025974,11,3.0997692630263,0.808311191789531
"2UGL",648.494316639999,"2UGL.4",881.4915,4180,772.5,181,605,151,1054,851,2490,5.29,11470.90749,3682.861962,37823.00144,9.34756932556389,8.21144543597076,2,"Uninvaded","Undisturbed","Grassland",8038,197,49.9667408,2047,1312.247201,1.727115804,3.974025974,11,3.2669223164126,0.233274869444
"2UGL",648.494316639999,"2UGL.5",991.3299,3580,470,166,480,240,1348,837,2437,5.3,6933.688464,1007.620391,26675.64601,8.84414719647879,6.91534678147099,2,"Uninvaded","Undisturbed","Grassland",8039,125,31.28006287,2995,1610.427013,1.727115804,3.974025974,11,3.96116732869593,1.43049758467092
