sample,block,Rep,Plot_ind,Treatments,disturbance,vegetation.type,invasion,Beta_umolgSOC-1h-1,Nag_umolgSOC-1h-1,Phos_umolgSOC-1h-1,Beta:Nag,Beta:Phos,Nag:Phos,Beta_Prop,Nag_Prop,Phos_Prop,SOC.percent,N.percent,H.percent,S.percentIR,C:N,C:P,N:P,pH,ActiveC.to.TotalC,Active_C_mgkg-1,C.mgperkg,N.mgperkg,P.mgperkg,Mg.mgperkg,Mn.mgperkg,Fe.mgperkg,K.mgperkg,Ca.mgperkg,Ca_NoHIGH.mgperkg,Clay.percent,Sand.percent,Silt.percent,Texture.class
3DML.2,3,2,3C,DML,Disturbed,Motte,Uninvaded,5750.868218,1335.170353,6792.512112,4.31,0.85,0.2,0.414,0.096,0.489,1.302,0.154,0.39,0.007,8.4545,21.49,2.54,6.9,0.082637558,1075.941,13020,1540,606,3559,608,407,2924,31010,,16.6,76.4,7,Sandy Loam
3DML.3,3,3,3C,DML,Disturbed,Motte,Uninvaded,13816.39245,2264.300781,38755.87904,6.1,0.36,0.06,0.252,0.041,0.707,0.768,0.088,0.268,0.015,8.7273,29.09,3.33,6.11,0.133969401,1028.885,7680,880,264,854,370,760,1779,6146,6146,16.6,76.4,7,Sandy Loam
3DML.4,3,4,3C,DML,Disturbed,Motte,Uninvaded,5525.627801,1238.912596,6254.374927,4.46,0.88,0.2,0.424,0.095,0.48,1.352,0.14,0.506,0.005,9.6571,45.22,4.68,7.11,0.077352589,1045.807,13520,1400,299,1556,549,439,2134,11011,11011,16.6,76.4,7,Sandy Loam
3DML.5,3,5,3C,DML,Disturbed,Motte,Uninvaded,22986.53258,4470.339024,40171.72404,5.14,0.57,0.11,0.34,0.066,0.594,0.574,0.06,0.238,0.011,9.5667,22.6,2.36,6.37,0.178460801,1024.365,5740,600,254,1700,416,558,1750,7077,7077,16.6,76.4,7,Sandy Loam
3DMN.1,3,1,3D,DMN,Disturbed,Motte,Invaded,5481.389831,3516.670944,5699.459564,1.56,0.96,0.62,0.373,0.239,0.388,0.826,0.082,0.275,0.003,10.0732,28.98,2.88,5.25,0.12883753,1064.198,8260,820,285,693,298,581,1069,4214,4214,17.6,75.9,6.5,Sandy Loam
3DMN.2,3,2,3D,DMN,Disturbed,Motte,Invaded,4117.339788,5562.463376,8338.237091,0.74,0.49,0.67,0.229,0.309,0.463,0.942,0.097,0.266,0.019,9.7113,21.22,2.18,4.78,0.113281316,1067.11,9420,970,444,1939,452,597,2321,12599,12599,17.6,75.9,6.5,Sandy Loam
3DMN.3,3,3,3D,DMN,Disturbed,Motte,Invaded,9179.497133,8753.801931,35112.1958,1.05,0.26,0.25,0.173,0.165,0.662,1.01,0.106,0.243,0.017,9.5283,29.36,3.08,5.26,0.093674109,946.1085,10100,1060,344,1418,294,565,1991,9386,9386,17.6,75.9,6.5,Sandy Loam
3DMN.4,3,4,3D,DMN,Disturbed,Motte,Invaded,17110.82006,3570.323971,72740.96808,4.79,0.24,0.05,0.183,0.038,0.779,0.593,0.058,0.14,0.0125,10.313,19.38,1.88,5.6,0.172629005,1023.69,5930,575,306,1641,413,497,2848,7331,7331,17.6,75.9,6.5,Sandy Loam
3DMN.5,3,5,3D,DMN,Disturbed,Motte,Invaded,9679.113099,6159.179437,42669.44366,1.57,0.23,0.14,0.165,0.105,0.729,0.71,0.073,0.216,0.023,9.726,26.39,2.71,5.37,0.149763662,1063.322,7100,730,269,886,283,562,1268,5998,5998,17.6,75.9,6.5,Sandy Loam
3UGL.1,3,1,3E,UGL,Undisturbed,Grassland,Uninvaded,14670.14703,4940.062709,62908.16364,2.97,0.23,0.08,0.178,0.06,0.762,0.539,0.092,0.22,0.016,5.8587,49,8.36,5.21,0.185407347,999.3456,5390,920,110,747,348,549,1291,4489,4489,15.6,76.4,8,Sandy Loam
3UGL.2,3,2,3E,UGL,Undisturbed,Grassland,Uninvaded,23213.74344,12707.70886,50671.16481,1.83,0.46,0.25,0.268,0.147,0.585,0.395,0.045,0.202,0,8.7778,35.27,4.02,6.31,0.234272608,925.3768,3950,450,112,976,430,375,1494,5774,5774,15.6,76.4,8,Sandy Loam
3UGL.3,3,3,3E,UGL,Undisturbed,Grassland,Uninvaded,14184.39889,2884.369545,52353.12523,4.92,0.27,0.06,0.204,0.042,0.754,0.44,0.046,0.223,0.012,9.5652,44.9,4.69,6.81,0.228237273,1004.244,4400,460,98,724,290,501,1160,3568,3568,15.6,76.4,8,Sandy Loam
3UGL.4,3,4,3E,UGL,Undisturbed,Grassland,Uninvaded,10247.37872,2948.24517,27922.85587,3.48,0.37,0.11,0.249,0.072,0.679,0.383,0.045,0.187,0,8.5111,35.14,4.13,6.84,0.2720047,1041.778,3830,450,109,884,384,422,1590,4584,4584,15.6,76.4,8,Sandy Loam
3UGL.5,3,5,3E,UGL,Undisturbed,Grassland,Uninvaded,39986.10473,6870.29527,99455.22117,5.82,0.4,0.07,0.273,0.047,0.68,0.444,0.044,0.203,0.014,10.0909,37.63,3.73,6.24,0.21326205,946.8835,4440,440,118,653,403,572,1427,4160,4160,15.6,76.4,8,Sandy Loam
