block,invasion,disturbance,vegetation.type,sample,Sequencing.name,plot,fungal.spec.richness,fungal.fisher.alpha,bacterial.spec.richness,bacterial.fisher.alpha,plant.shannon,plant.invsimpson,plant.spec.richness,Beta_umolgSOC.1h.1,Nag_umolgSOC.1h.1,Phos_umolgSOC.1h.1
2,Uninvaded,Disturbed,Woody patch,2DML.1,8045,2DML,156,39.64184182,2994,1506.939323,1.551522807,3.588100686,7,4224.204916,879.7464522,3798.523679
2,Uninvaded,Disturbed,Woody patch,2DML.2,8046,2DML,193,49.39953074,2978,2188.795577,1.551522807,3.588100686,7,5170.501831,1813.040649,3373.107539
2,Uninvaded,Disturbed,Woody patch,2DML.3,8047,2DML,200,50.87588809,4683,3207.862542,1.551522807,3.588100686,7,10984.19503,1793.506951,24938.85591
2,Uninvaded,Disturbed,Woody patch,2DML.4,8048,2DML,223,56.91671014,2904,2448.52959,1.551522807,3.588100686,7,4327.404676,686.5776769,11114.45431
2,Uninvaded,Disturbed,Woody patch,2DML.5,8049,2DML,172,47.75497223,3427,2169.603554,1.551522807,3.588100686,7,4661.743565,2916.487452,41169.9865
2,Uninvaded,Undisturbed,Grassland,2UGL.1,8035,2UGL,134,34.09441889,2558,1074.866021,1.727115804,3.974025974,11,22344.5058,9672.346373,117296.5339
2,Uninvaded,Undisturbed,Grassland,2UGL.2,8036,2UGL,119,31.31209892,2544,1362.302998,1.727115804,3.974025974,11,12330.15478,7671.239301,32216.52598
2,Uninvaded,Undisturbed,Grassland,2UGL.3,8037,2UGL,174,44.06189422,2477,1661.435005,1.727115804,3.974025974,11,11416.28412,3665.324524,1e-09
2,Uninvaded,Undisturbed,Grassland,2UGL.4,8038,2UGL,197,49.9667408,2047,1312.247201,1.727115804,3.974025974,11,11470.90749,3682.861962,37823.00144
2,Uninvaded,Undisturbed,Grassland,2UGL.5,8039,2UGL,125,31.28006287,2995,1610.427013,1.727115804,3.974025974,11,6933.688464,1007.620391,26675.64601
2,Uninvaded,Undisturbed,Woody patch,2UML.1,8025,2UML,93,23.6177752,2399,879.4492496,0.771502809,1.770526316,3,2605.801146,4263.640799,10499.32068
2,Uninvaded,Undisturbed,Woody patch,2UML.2,8026,2UML,170,42.272214,2418,1659.263939,0.771502809,1.770526316,3,3754.927778,1565.91446,7111.929483
2,Uninvaded,Undisturbed,Woody patch,2UML.3,8027,2UML,163,41.47538723,2564,1043.349545,0.771502809,1.770526316,3,5052.506373,2026.076471,7669.450728
2,Uninvaded,Undisturbed,Woody patch,2UML.4,8028,2UML,128,32.79692022,1989,863.8335082,0.771502809,1.770526316,3,26099.60531,7731.157102,48733.89627
2,Uninvaded,Undisturbed,Woody patch,2UML.5,8029,2UML,142,35.8598067,1896,850.284287,0.771502809,1.770526316,3,3236.553272,1077.348357,2432.343357
3,Invaded,Disturbed,Grassland,3DGN.1,8100,3DGN,195,50.44777086,3953,2970.297143,0.503769028,1.247071187,7,14773.70041,4691.075798,30957.13605
3,Invaded,Disturbed,Grassland,3DGN.2,8101,3DGN,178,42.15052451,3958,3233.804089,0.503769028,1.247071187,7,36205.22688,9781.974167,91739.44292
3,Invaded,Disturbed,Grassland,3DGN.3,8102,3DGN,103,22.35856773,1644,2519.007583,0.503769028,1.247071187,7,12364.50227,5468.502823,49209.2547
3,Invaded,Disturbed,Grassland,3DGN.4,8103,3DGN,170,39.68879036,3969,3282.99628,0.503769028,1.247071187,7,10632.14057,1854.409941,27197.71645
3,Invaded,Disturbed,Grassland,3DGN.5,8104,3DGN,204,52.16878236,3730,3139.853417,0.503769028,1.247071187,7,31084.49519,7151.204643,47116.55307
3,Invaded,Disturbed,Woody patch,3DMN.1,8090,3DMN,151,35.05897245,746,960.2216638,0.163038582,1.067119062,3,5481.389831,3516.670944,5699.459564
