"plot","MAP","sample","Active_C_mgkg.1","C.mgperkg","N.mgperkg","P.mgperkg","Mg.mgperkg","Mn.mgperkg","Fe.mgperkg","K.mgperkg","Ca.mgperkg","pH","Beta_umolgSOC.1h.1","Nag_umolgSOC.1h.1","Phos_umolgSOC.1h.1","log.beta","log.nag","block","invasion","disturbance","vegetation.type","Sequencing.name","fungal.spec.richness","fungal.fisher.alpha","bacterial.spec.richness","bacterial.fisher.alpha","plant.shannon","plant.invsimpson","plant.spec.richness","PC1.soil","PC2.soil"
"3UML",653.51093568,"3UML.1",924.9409,9420,1040,234,1252,528,764,2143,9349,5.38,12287.45191,3878.256476,31750.35807,9.41633385071429,8.26314096976835,3,"Uninvaded","Undisturbed","Motte",8065,148,34.15107422,3473,2491.493213,1.453264009,2.685983443,12,0.739548112242046,0.123274614199098
"3UML",653.51093568,"3UML.2",1056.169,18360,1890,467,2353,651,433,2447,20273,6.4,5635.516743,3126.89556,6326.826931,8.63684412466521,8.0477959574757,3,"Uninvaded","Undisturbed","Motte",8066,171,43.48170395,1266,1141.492502,1.453264009,2.685983443,12,-2.81038963807409,-1.29733678220121
"3UML",653.51093568,"3UML.3",1054.411,9120,1130,397,4042,508,243,3052,31292,7.78,22884.79167,2904.820504,12739.07895,10.0382278497035,7.97412687873674,3,"Uninvaded","Undisturbed","Motte",8067,133,31.2401594,2714,1384.655602,1.453264009,2.685983443,12,-3.16946377348356,1.03831906415218
"3UML",653.51093568,"3UML.4",1088.444,8470,910,171,1384,378,512,2166,8839,4.94,10932.30201,1978.695514,18096.83011,9.29947717290127,7.59019307525073,3,"Uninvaded","Undisturbed","Motte",8068,236,62.18537231,3112,2308.551958,1.453264009,2.685983443,12,0.777766442299498,0.00361141798218135
"3UML",653.51093568,"3UML.5",1024.877,10565,1323.333333,204,1610,451,488,1686,12503,6.14,12682.58987,3105.731472,32408.71775,9.44798545555806,8.04100454536723,3,"Uninvaded","Undisturbed","Motte",8069,219,54.94292671,3583,2717.459453,1.453264009,2.685983443,12,-0.392565105507214,0.248170260259557
"2DMN",648.95997232,"2DMN.1",1079.537,16630,1780,357,2894,744,351,3006,19500,7.15,9037.319844,1545.797535,7872.870295,9.10911793199447,7.34329526002795,2,"Invaded","Disturbed","Motte",8050,126,29.66795324,3049,1886.791229,0.163023629,1.079872204,2,-3.35601470608602,-0.362812320065914
"2DMN",648.95997232,"2DMN.2",1147.083,20340,2020,599,4235,772,408,3768,31941,6.18,5805.396764,1745.601061,11202.40418,8.66654324046127,7.46485422289255,2,"Invaded","Disturbed","Motte",8051,211,53.17331786,3373,2166.352181,0.163023629,1.079872204,2,-4.31343055472226,-2.04497563956785
"2DMN",648.95997232,"2DMN.3",1039.127,10650,1170,234,2865,668,310,4132,15658,7.16,14081.51183,4211.523756,2296.742488,9.5526179982376,8.34557979848509,2,"Invaded","Disturbed","Motte",8052,150,35.93695096,2730,1749.437433,0.163023629,1.079872204,2,-2.49578379134723,1.20000661568953
"2DMN",648.95997232,"2DMN.4",1090.131,14310,1550,363,1529,710,677,2431,13520,5.51,6645.8058,2114.169252,17611.61167,8.8017412279038,7.65641722566623,2,"Invaded","Disturbed","Motte",8053,128,32.78312418,2791,2121.101546,0.163023629,1.079872204,2,-1.25358399788557,-1.52659450787427
"2DMN",648.95997232,"2DMN.5",1031.705,12320,1340,297,2438,628,280,3216,18377,7.12,8616.690747,2353.548539,13435.03774,9.06145638588738,7.76367948480528,2,"Invaded","Disturbed","Motte",8054,110,30.74268519,1949,1652.665856,0.163023629,1.079872204,2,-2.64507384129746,0.729642869647484
